SMILES,Name,Value,Units
FC(F)(F)Oc1cccc(c1)n2nnc3cc(Cl)c(NCC4CCNCC4)nc23,CHEMBL1952144,6.000000000000000000000000000000,nM
C(Cc1ccccc1)Nc2ccc3nnc(c4ccccc4)n3n2,CHEMBL1952145,14.000000000000000000000000000000,nM
Fc1ccc(cc1)c2nnc3ccc(nn23)N4CCCCCC4,CHEMBL1952146,96.000000000000000000000000000000,nM
NS(=O)(=O)c1ccc(CCNc2ccc3nnc(c4ccccc4)n3n2)cc1,CHEMBL1952147,65.000000000000000000000000000000,nM
Fc1ccc(cc1)c2nnc3ccc(nn23)N4CCOCC4,CHEMBL1952324,371.000000000000000000000000000000,nM
FC(F)(F)Oc1cccc(c1)c2cnc3ccc(NC4CCOCC4)nn23,CHEMBL1952325,57.000000000000000000000000000000,nM
FC(F)(F)Oc1cccc(c1)c2cnc3ccc(NCCc4cccnc4)nn23,CHEMBL1952326,25.000000000000000000000000000000,nM
CCCNc1ccc2ncc(c3cccc(OC(F)(F)F)c3)n2n1,CHEMBL1952327,217.000000000000000000000000000000,nM
Oc1ccc(cc1)c2cnc3ccc(NCc4ccc(F)cc4)nn23,CHEMBL1952328,130.000000000000000000000000000000,nM
CN1CCC(CNc2ccc3ncc(c4cccc(OC(F)(F)F)c4)n3n2)CC1,CHEMBL1952329,7.000000000000000000000000000000,nM
FC(F)(F)Oc1cccc(c1)c2cnc3ccc(NCC4CCNCC4)nn23,CHEMBL1952330,127.000000000000000000000000000000,nM
CCN1CCC(CNc2ccc3ncc(c4cccc(OC(F)(F)F)c4)n3n2)CC1,CHEMBL1952331,18.000000000000000000000000000000,nM
CC(C)N1CCC(CNc2ccc3ncc(c4cccc(OC(F)(F)F)c4)n3n2)CC1,CHEMBL1952332,79.000000000000000000000000000000,nM
